text,label
why am i being charged a fee for using my card? if there is some print out of places that charge me can you please send me that?,15
how long does it take for a refund to appear?,51
how quickly can i transfer something to china?,67
why wasn t my bank balance updated?,5
my app is showing a payment that i know i did not do. can you please cancel that transaction and credit my account please?,28
can am i able to exchange currencies?,33
what do i need to do in order to use my card i just got?,0
what places accept my card?,10
i made a purchase earlier today but it is still listed as pending when will it go through?,45
an atm machine didn t return my card.,18
can i get an update on my replacement card?,11
what are the ways for others to transfer me money?,50
i tried to get cash but it was declined!,26
my card is about to expire and i need to know how much it costs and how long it takes to get a new one.,9
what stores will take my credit card as payment?,10
top up google pay is it possible?,2
what atms will accept this type of card?,3
there are two of the same charges on my account.,63
i tired to deposit some cash into my account but it s not there,6
can i change my pin at a nearby atm when in spain? i think someone saw my pin and i need to change it but am on vacation.,21
i made a transfer a couple hours ago but my balance has not been updated. why is this? shouldnt this be instant?,5
visa or mastercard?,73
i attempted to top up with my card this morning but the transaction was unsuccessful. i received the card two days ago and was successful using it previously. could you please help me?,59
i made a cash withdrawal earlier and it s showing as pending. what does that mean?,46
i have two of the same charges on my account!,63
why can t i use my virtual card for subscription services?,72
although i am not located in the uk area may i still receive a card?,24
how do i order a disposable virtual card?,37
i tried to withdraw money but i was declined!,26
i no longer have my passcode.,44
can you tell me why my top up was reverted?,61
cancelling a transaction,8
do i have to use bank approved atm s,3
why do you keep declining my transfers? it s always been working really well so far but when i tried to buy something just now the card got declined i tried couple of times already but same thing is happening.,27
a while ago i requested a refund from a seller. i keep checking my statement but i have not been refunded yet. i m confused why i haven t gotten my money back yet but i need your help getting it please.,51
what has to be done to verify my identity?,69
why is a transaction showing as pending when i recieved cash from an atm?,46
my statement has a payment that i do not recall making,16
will i be charged for adding money by transfer?,56
is there something blocking me from making transfers,7
an extra pound was charged!,34
i made a card payment but it has been declined?,25
which atms accept this bill of fare ?,3
how long will my cash withdrawal take,46
what went wrong with my transfer?,27
this company is terrible! can you delete my account?,55
canceling my order is what i need to do right now.,52
i was not distributed the correct amount of cash that i asked for,75
i need to freeze my card as soon as possible. i just checked my account and saw that there have been several payments that i don t recognize over the course of a few days. can we investigate and get my money back?,16
hello i changed my mind and want a refund on one of things i bought recently. can you please cancel the transaction and get me my money back. please it s urgent.,52
in what places can i use my card?,10
are there fees for using an international card to top up?,57
is there an age minimum?,1
i tried to use my card to withdrawal money from the atm in notting hill but it didn t work. this is the first time i ve tried using it. is my card working?,26
how is my pin sent?,38
i don t see a code anywhere on my top up card? where can i find it? i need to verify!,71
can i still use my account without verifying my identity?,74
my cash withdrawl has the wrong rate of exchange.,76
for some reason i am unable to preform a transfer to a beneficiary.,7
how old do you have to be to open an account?,1
i think my card is being used by someone else to make purchases that i didn t authorize! i checked my account and see that there have been quite a few purchases over the last two days that i have no idea where they came from. we need to freeze my card now! and i need to find a way to get my money back.,16
how can i get a physical card,43
why am i being charged to make cash withdrawals? i thought they were supposed to be free!,19
i initiated a bank transfer form europe how long will this take?,67
i want to reactivate my card i thought i had lost it but found it again in my jacket.,13
is there a way to do top up with cash deposit,58
why can t i withdraw cash?,26
i need to top up cash how do i do it?,58
what can i do about some payments on my card i didn t make. please put a freeze on my card till we can figure this out.,16
as my kids get older are they able to get set up with their own accounts?,1
i would like an account for my children how do i go about doing this?,1
how to delete account not happy,55
i am looking for my top up verification code and cannot find it.,71
what s up with the extra fee i got?,19
cash withdrawal was incorrect at atm.,75
is there an age limit to when my child can use these services?,1
i need help from someone in your department with finding my nearest atm.,3
what kind of fees will i pay when i transfer?,64
why doesn t my balance reflect my transfer,5
i noticed an extra charge on the purchase that i made last saturday on my account. can you see if i received the correct exchange rate?,17
i have duplicated transactions on my statement,63
my transfer is pending too long.,5
my bag got stolen with all my cards. can you please cancel my card and send a new one?,41
i locked myself out of my account how do i unblock my pin?,49
i want to cancel a transaction from this morning.,8
which documents do i need for this identity check?,69
explain the activation method for this card,0
i need to use my disposable card multiple times a day is there a cutoff limit?,29
is there an alternative to a physical card?,40
why was a fee added to my bill when i used my card?,15
how do i go forth on transferring a sum of money from one account to another?,65
what if i type in the wrong pin too many times?,49
if there isn t much money left over will it top up automatically?,4
are virtual cards available to get?,40
there is a payment i don t recognize,16
is there a way to do top up with apple pay,2
who is giving me my money?,70
please check and let me know why my transfers are getting declined.,27
i would like to dispute a direct debit transaction,28
can i use any card and currency?,54
i would like to create a disposable virtual card. how do i go about doing that?,37
i need to find out why my pending payment hasn t gone through.,45
i want to use auto top up. is there a limit?,4
what documents do i need to validate my identity?,69
what cash stations take this card?,3
why am i not able to verify my id?,68
why is my card payment still listed as pending?,45
will you charge me for exchanging foreign currencies?,31
my card is missing! help!,41
can i specify a day for my card to be delivered?,12
my withdrawal from the atm was cancelled.,26
my card failed to work when i was shopping in a store,25
i just got my card. it s not linked yet how do i do that?,13
can i schedule future top ups?,4
i made a purchase a few weeks ago but wasn t happy with it so recently requested a refund from the supplier. can you check where the money is?,51
the amount of money i pushed at the atm machine did not come out of the machine.,75
how come there is an extra fee on my statement?,34
my card is about to expire. how do i order another?,9
tell me if there is a top up limit.,60
why did my transfer get declined?,27
what is the source of my money?,70
i cannot use my disposable virtual card.,72
i would like to change currency,33
who do i contact if there is a direct debit that i did not create.,28
my card was not accepted in a shop,25
i got charged twice,63
why am i being charged certain fees? i noticed a fee after i withdrew some money for groceries earlier today.,19
how can i fix a problem where my virtual card is rejected?,72
i just saw a charge for a cash withdrawal that i made! atm withdrawals have always been free in the past so why is there suddenly a charge? what is it going to cost me now?,19
help. my account has been deducted already and the seller says they haven t received the money yet? when can they expect it?,53
do you have a limit to top ups?,60
my phone was taken yesterday is there something that i need to do?,42
what are the charges for us cards with top up.,57
tell me why there is a fee for a card payment.,15
so i just put my top up into the card and it hasn t changed.,47
what commission do you take for currency exchage?,31
what do i need to do to transfer my paycheck to my account?,50
i m not sure how to complete the identity checks process.,69
i don t want this account anymore how do i delete it?,55
i made a cash deposit and the balance wasn t updated.,6
i go the wrong exchange rate applied to my purchase in a foreign country.,17
there is no way for me to prove my identity.,68
will it be possible to change from usd to gbp with this app?,33
can i transfer my salary if its in gbp?,50
what steps do i need to take to close my account?,55
i need to cancel my card that got stolen a little while ago. someone has already taken some money out and i don t want them to take anymore. can you please do that?,20
i can t log into my account because i lost my password,44
the funds i transferred are not in my account,5
can you tell me where you get your exchange rates?,32
how do i find out where my funds came from?,70
can i get both a visa and a mastercard from you?,73
a payment that i didn t make appears in my app.,16
is there a way to see where my money originally came from?,70
i still haven t received my card in the mail,11
so much time has gone by the pending status shouldn t still be there shouldn t it?,46
a duplicated payment was made for something.,63
how many disposable virtual cards can you have?,29
i see a direct debit payment on my app that i did not do,28
i am waiting for a pending money transfer to process.,48
i ve been waiting for a refund where is it?,51
why haven t i received a refund yet?,51
i want one of the virtual cards!,40
please delete the duplicate payment that was made to my account. one payment is still pending and i do not want to pay twice.,63
my account shows i made a debit payment to someone that i can t recall and would like to find out who the payment was made to.,28
if i want to change my pin number can i directly from an atm?,21
my atm transaction was unsuccessful.,26
im not paying this transfer fee,64
where do i order a card?,43
how can i get my money back for a payment i didnt make,28
i must make a transfer from china and it is urgent. how long before the transfer is complete?,67
i want to close an account but im not sure about setting up a new one in the future what do you recommend,55
can you tell my why my funds transfer did not work properly?,35
what happens to the funds if a merchant refuses the payment,53
i got some cash but it wasn t the right amount.,75
i would prefer a mastercard.,73
will i have to wait much longer for my new card to arrive?,11
want a new card what are the fees,9
its been several days and my cash withdrawal is still pending. why?,46
i m waiting on a top up its still pending,47
how soon will i see the transfer in my account?,67
i need to modify my details.,30
why do we need to verify top ups?,71
i ve made more than one attempt to make a purchase and the card keeps getting declined. why do you keep denying my transfers?,27
my new card needs activating.,0
what is needed for the identity verification?,69
why have my top ups been canceled?,61
i made a transfer to my friend earlier and she hasn t received it yet. what s the hold up?,66
i m happy with mastercard and want to stick with just that credit card.,73
i need an actual card that i can hold in my hand how do i do that?,43
i topped up but the app did not accept it.,59
need help with my card. it s not working.,14
can i get a card outside the uk?,24
how do you exchange currencies,33
i have a pending payment from stuff i bought this morning.,45
can you track my card for me?,11
my daughter need a card from this account. is that possible?,39
i need your help to check my account please! my card keeps being declined at the atm and i ve already tried two different ones!,26
i am interested in cancelling a purchase,52
can i transfer money to my card via bank transfer?,65
is there a fee for topping up a card?,57
i want to add money to my international card so are there any fees charged to do this?,57
status of the card i ordered.,11
i need help verifying my identity.,68
the expiration of my card is near how do i order a new card?,9
why was i charged an extra fee when using the card?,15
am i able to get a card in eu?,24
what is the top up limit,60
how do i get top up to work in apple pay?,2
which countries do you operate in,24
oh my god i lost my card! what should i do?,41
there s a recent charge on my card that i know i didn t make because i ve never seen the name before. can we investigate this?,16
are there directions to get a new passcode if i forgot mine?,44
can i exchange currencies with the app?,33
i was charged multiple times for one purchase,63
when will my top up go through?,47
i needed to make a payment on my account but i typed in the incorrect number. the app won t allow me to cancel this transaction. i need it cancelled asap!!,8
can friends transfer money to each other?,50
could i get a mastercard and visa from you?,73
when my card expires what happens to my account?,9
i am very dissatisfied with the services that you are providing. i want to cancel my account.,55
what is the reason a transfer shows as pending?,48
why did i get charged a fee on my card?,15
a mortgage payment i m making is giving me an error message. this is the first time i m making this payment and want to know what s wrong.,35
my account says i have money but i withdrew it in cash.,46
i have a us credit card will you accept it?,54
i don t understand why you aren t accepting my transfer. after a couple times trying i m still getting an error message.,7
is it possible to cancel a transaction?,8
why does it take so long to verify my id,68
where would i order a virtual card?,40
why hasn t my virtual card arrived?,40
did i do something incorrectly? where is my top up?,47
why do we need to verify a top up card?,71
do i need to do something to get a new card once it expires?,9
why didn t my payment work,25
do i have to wait to get the pin or can i set up a pin,38
why doesn t it work when i use american express to try to add money to my account?,54
why would a transfer to a beneficiary not go through?,7
will i get visa or mastercard?,73
can i be given a new passcode?,44
looks like my card payment was duplicated. i went to pay at the store earlier got declined once second time it works. app still stays pending for one of the payments. can you please remove one of them as it s wrong and clearly was declined?,63
would you please tell me the status of my refund request for a large purchase i made not long ago? i contacted the merchant nearly a week ago but haven t received it.,51
can i withdraw money in my hometown currency while on holiday without any additional fees?,76
how much is it to buy another card? i was hoping to buy another one.,39
i bought some stuff this morning but the payment shows as pending,45
can i change from one currency to another?,33
i have been waiting for my card payment to be moved from pending status for an unusually long time. what is going on here and do you have an idea of when i can expect it to go through?,45
if you send me more cards are there any charges?,39
my bag was stolen from me yesterday so i can t use any apps or anything. i need some help.,42
for what reason is my transfer still pending now?,48
how do i go about getting a refund?,52
what steps do you take to check identity,69
help me locate the nearest atm.,3
how does a bank transfer for topping my account work?,65
i didn t receive the correct exchange rate when i got cash.,76
how can i top up my card?,58
how do i go about getting hold of a virtual card?,40
i don t know why my payment didn t work.,25
what do i do to lock my phone after losing it so my account isn t accessed,42
my daughter would like a card from my account? can i do this?,39
i don t remember my password,44
how do i change my pin?,21
i lost my phone!,42
how do i report my card stolen?,41
what countries can i use your services?,24
what kind of fee is there to top up my account?,56
is there a reason my top up hasn t gone through,47
what are the additional charges for a swift transfer?,56
you accepts my card?,10
please tell me how to get a physical card.,43
why would a merchant revert my payment?,53
why do you need to know where my money is coming from?,70
my card payment won t work.,25
which kind of documentation do i need for identity check?,69
i was charged twice for the same purchase!,63
where to funds come from,70
am i able to do a swift transfer?,56
i would like to know where my source of funds came from.,70
it looks like a payment i ve made hasn t made it through yet.,45
what is the charge for using a top up card in the us?,57
am i allowed to give my daughter one of my cards to use?,39
whats the exchange charge,31
why was a transfer to an account not allowed?,7
why was my account assessed a fee for an atm transaction?,19
my cash withdrawal is pending why?,46
my google pay seems to be acting up.,2
why is there a verification to identity,74
i should not have been charged a fee for cash withdrawal.,19
i was charged a hidden fee when i paid with card.,15
how is the current exchange rate?,32
do you supply both visa and mastercard?,73
my client was converting their russian ruble into uk pound currency when they noticed their bill was much too high for the exchange. what happened?,17
i want to track the card you sent,11
i just got an error message saying my transfer is not possible? why is that? i ve transferred money before and it worked without problem,7
tell me why i was charged more with my card?,15
can you tell me what countries you offer support for?,24
hi yesterdays i was unable to do online shopping as it was getting declined. today i am facing the same issue. please help me in this respect.,27
i cannot see a refund in my account,51
it looks like i was charged twice for a single transaction,63
how do i deal with a stolen card?,41
reasons for top up cancellation.,61
there is a direct debit payment that i did not make.,28
please send me a disposable virtual card.,37
how do i reactivate my card?,13
could you tell me the fiat currencies that you work with?,36
i need to track the card sent to me.,11
how can i tell if someone else is using my card?,22
do i need to re apply to order a new card when my old one s about to expire?,9
what is the process for activating my card and using it?,0
whats types of currency can i exchange?,33
i made a transfer 12 hours ago. why is it still listed as pending?,48
i lost my card. can you help me?,41
i m waiting for a money transfer to show still.,48
why has my payment not gone through?,45
my card got stuck in an atm.,18
can i choose my card scheme?,73
my new card is here what s the process for activating it?,0
my payment was stopped,53
are there any charges for top ups?,57
i got charged a fee that shouldn t be there from my cash,19
hello. my credit keeps being declined last night and again today as i try to buy something. what is the status of my card?,27
it looks like my card payment was sent back.,53
how many different currencies can i hold money in?,36
where do i go to change my pin?,21
how long do transfer pend for?,48
i noticed my exchange rate was incorrect when i got cash.,76
i know i have enough funds in my account but my card payment hasn t worked for some reason. what do i do?,25
can you tell me why my card payment was cancelled?,53
can i add other people to my account so they can top up?,62
how many tries do i have to enter my pin before i m blocked?,49
i have been waiting over a week. is the card still coming?,11
my transfer is still pending and i know the account numbers are correct. please help.,48
the atm is messed up. it gave me less than i wanted.,75
how do you top up using cash?,58
could you assist me in finding my lost card?,41
what exchange rate is it?,32
the rate of exchange for my cash withdrawal is wrong.,76
i need to change my address,30
the app failed to verify my id.,68
i m still waiting for a money transfer to show.,48
hi i am unable to use my card in atm. i had tried my card in two atms but both atms declined it. could you please check my account?,26
where do i verify my identity?,69
will there be additional costs of i make a withdrawal from a local atm of british pounds? i need some cash to feel comfortable on the journey home,76
my transfer failed,35
when will i receive the card?,12
i did not get enough cash,75
i want to reverse a purchase. can i cancel it?,52
if i lost my phone can someone use my account?,42
how long will the transfer take?,48
why was the exchange rate different when i withdrew my cash?,76
how do i ask for a physical card?,43
what is the limit on disposable cards?,29
can you tell me how to order a virtual card?,40
can i get a full list of instructions for identity checks?,69
why was i declined getting cash?,26
is my cash withdrawal pending?,46
what atms can i use this card at?,3
do i have to do an identity check?,74
i ve completely forgot the code to get into the app.,44
on my last transaction it seem that my top up was not successful.,61
why is the pending status on my cash withdrawal taking so long?,46
how do i get a refund for an unauthorized direct debit payment?,28
i left my phone somewhere and can t use the app.,42
purchases i did not make are appearing in my bank statement?,28
you applied the wrong exchange rate while i was traveling outside the country.,76
what cards and currencies can i use to top up my account?,54
hello! i randomly got charged an extra fee today as i was shopping online and i have no idea why! are there extra fees for card payments? or am i missing something here?,15
when i was transferring money i was charged extra why?,64
my card is due to expire soon.,9
what are ways to test why my card might not be working?,14
i am still waiting for a transaction to be completed,66
how long until my card will get here?,12
how long will this take to get to me?,12
what are the steps i should take to recover my swallowed card?,18
there must be an issue why has my card been cancelled?,53
i d like to transfer funds using my credit card.,62
why was my payment cancelled?,53
i didn t get as much cash as i asked for from the atm why?,75
i travel a lot can i get a bulk currency exchange discount?,31
my top up did not complete.,47
i attempted a transfer but it failed.,35
can i have more disposable cards?,29
how long does transfers take?,5
after looking at the app i noticed a couple of payments i know i did not make. is it possible someone has accessed my card? what is actually going on?,16
top up on my google pay isn t working.,2
i don t recognize this payment on my app i am sure i didn t spend any money there.,16
why does my transfer keep failing? i ve tried 5 times and they all failed.,35
will i be charged if someone needs to send me money?,56
i tried withdrawing but my cash is not showing up?,75
could i raise a dispute for a large payment that i found out was not done by me in my couple of last statements? i am aware its delayed now. please help me out.,28
can someone in the us have a card?,24
can i check somewhere if there will be a fee on my payment or not? seems you are charging in some cases what s the pattern there?,15
need a new card mine is expiring.,9
what do i have to do to change my pin?,21
how do i know when my card will arrive?,11
my pin is blocked what do i do?,49
i want to know the source of my funds.,70
do the disposable cards have any restrictions on them?,29
i was trying to top up and my credit card was declined. can you tell me why?,59
i m not sure where this charge came from.,16
how long do card transactions take to clear?,45
i was recently charged for withdrawing money from my bank atm. how can that be possible when i haven t been charged for using it before?,19
will i get charged for topping off my card?,57
could you tell me why my cash withdrawal was declined?,26
i still haven t seen a refund on my account,51
can you help my fix my contactless?,23
what do i have to do to get my virtual card?,40
i need to get an actual card so that i can use it for in person transactions. how would i do this?,43
is it possible to delete the account?,55
how long will it take to transfer from europe?,67
i don t recognize the direct debit payment on my account.,28
where can i find the virtual card?,40
what is the source of your exchange rates?,32
how long until my new card gets here?,11
is there a limit to my top up?,60
i was just shopping and my payment was declined in a store! it was very embarrassing what is going on and when will it be fixed?,25
i did transfer why is it pending,48
will it take more than 3 days for my transfer to reach my account?,67
atm would not give me cash,26
there are a couple payments with my card shown that i m not responsible for. what is going on? maybe someone has access to my account.,16
why did i get charged a fee when i tried to obtain cash?,19
i made a check and cash deposit that wasn t credited to my account.,6
how do i select a mastercard instead of a visa?,73
there is an extra 1 charge,34
why are my payments not working and show pending?,45
i had everything lined up to make a transfer and then it rejected it.,27
my card got blocked how do i reset?,49
i have a transfer from the us how long is the wait?,67
my card was declined and i did not receive money from the atm earlier yet it show on my account that it is pending.,46
i would like open a second card for my daughter how can you assist me?,39
what amount can i top up?,60
it s been more than a week since i had a return charged to my card why hasn t it showed up?,51
could you help my figure out the exchange fee?,31
exchange rate for my card payment is wrong,17
there was an extra fee when i was at the atm. why?,19
when can i expect my card? i live in the us.,12
why couldn t i do a transfer to a beneficiary?,7
according to the app i got cash from an atm but i haven t made any transactions.,20
i ve been to several different countries can i exchange the cash with a discount for a large transaction?,31
what is the reason for the extra fee on my statement?,34
what is the return policy?,52
can i do more than 10 transactions with a disposable card?,29
i want to know why i have been unable to withdrawn funds.,26
can i use my card while on vacation overseas?,10
what types of fiduciary currencies are supported for tenure and exchange?,36
i was wondering if there were any discounts offered for frequent currency exchanges?,31
i need a list of currencies you accept for exchange.,36
i don t recognize a purchase that was made with my card.,16
my card was confiscated by an atm. how do i get my card back?,18
hi i had an issue with my card payment and it shows on my account that my payment went through. then i got contacted from the seller saying they did not receive my payment then the payment was returned to my account. so i would like to see why it did that please.,53
i have a missing refund,51
i exchanged russian rubles for british pounds today and got less than i expected. was exchange rate correct?,17
i was charged for something i didn t expect,64
my card will expire soon when do i need to order a new one?,9
my pin number was incorrect and i can t access it.,49
i tried to withdraw some money from an atm this morning but wasn t able to get the amount of cash i needed. the amount in the app says what i was trying to withdraw was deducted but i don t have any money. what do i do about this?,75
is there any amount in which i would get cut off from topping up?,60
how long does the cash withdrawal take to pend?,46
why are there so many fees on my statement?,34
my account was charged a fee. when did you start charging extra for card payments?,15
i m in spain and my stuff has been stolen. my card was with it and i need a new one shipped and the old one frozen.,41
how do i order a new card? the current one is about to expire.,9
my card isn t working at all i need assistance. it s really frustrating.,14
can you explain how to transfer money into my account for me?,65
i want to top up by using a credit card which ones do you support?,54
someone has copied my card. i have my card with me but someone just made a 500 cash withdrawal. please help now.,20
how can i solve my issue with holding multiple currencies?,36
what are the locations i can withdraw money,3
i need to add my new address now that i ve moved.,30
i couldn t make a transfer,35
i m having an issue with transaction. i topped up my account and saw it went through but that was a few days ago and the money isn t in my account any more. what s up with that?,61
what do i do if i notice a strange withdrawl in my statement?,20
how long is my europe transfer wait?,67
what is the procedure for an expired card?,9
can it specifically be delivered on a certain date?,12
is my country supported,24
do i have to top up with my credit card before i can transfer?,62
will you guys charge me for topping up by transfer?,56
how can i find out where the funds are flow?,70
my card appears to have never arrived?,11
what is the reason for that,14
i need to reorder my virtual card!,40
i want to get a refund.,52
i was wondering why my payment hasn t gone through yet its been a while.,45
so my top up failed could you tell me why?,59
can i transfer something urgently from china? how long does it take?,67
my card s expiring what happens now?,9
what information am i going to have to have in order to do a transfer with my card?,62
i need to figure out who has access to my card there are some payments i didn t make that are showing on the app. could you please help?,16
if i want to select a new pin what do i do?,21
i was double charged,63
how do i get a virtual card on my device?,40
i couldn t transfer money to a beneficiery,7
just received my replacement card what steps do i need to take to activate it?,0
what s the process to receive a second card?,39
i m travelling abroad but i ve run into a situation where i need to change my pin immediately. can i do this from here?,21
i haven t received my cash yet.,75
what factors effect the exchange rate?,32
how can i top up with google play?,2
can i directly deposit my salary to this account?,50
why is my transfer taking so long. i thought it was supposed to only take 1 day if i made a transfer to someone. can you wee what went wrong?,66
where is my cash deposit in my balance?,6
can i use a cheque to top up my account,58
hey i have my card how do i get it to show in the app?,13
how do i change my currency to another?,33
help! my account doesn t show any funds. is transferring funds an option i can use?,65
what would the age limit be?,1
i ve been trying to make a transfer and it hasn t gone through. now i am receiving an error message. what is the problem?,7
when my card expires do you send a new card?,9
is it possible to get both mastercard and visa card from you?,73
i can t get my actual card to work,14
how do i cancel my transfer?,8
there is a vendor name i don t recognize on a payment from my account. i don t think i made this payment.,16
how can i know where did my funds come from?,70
why is my pin blocked?,49
why am i being charged more ?,17
do i get visa or mastercard?,73
what is the minimum age limit?,1
this card is accepted by what businesses?,10
i want this fee reversed from my account.,52
card payment is still pending why is that the case?,45
my top up card needs verification and i don t know how to do it,71
where can my card be used?,10
i m not happy with service and would like to delete this account.,55
i need it delivered on a certain date.,12
i tried to get money out of an atm in notting hill earlier but it didn t work. is my card actually working? it s the first time i tried using it,26
why is the cash withdraw i made shown as pending?,46
a payment is showing twice. why is that?,63
how do i transfer funds if i am paid in gbp?,50
is there a top charge for us cards?,57
a refund is taking too long.,51
can i get a virtual card,37
is there any reason my cash withdrawal still shows as pending?,46
can google pay be used to make a top up,2
help me cancel a transaction.,8
a refund for a recent return has not arrived on my card.,51
i dont see my reciept,66
how do i top up my card?,65
i really want a physical card. how do i get one?,43
could you tell me about the restrictions that are on the disposable cards?,29
i live in america but i would like a card.,24
how to get new card after atm eats it,18
please help me its urgent. someone has withdrawn money from my account as few hours before my wallet has been. now i want to stop withdrawal of more money.,20
have you started charging for cash withdrawals? i always thought it was free until i noticed this fee. how much is the fee?,19
the exchange rate from my card payment isn t right.,17
why has a transaction to a friend been delayed?,66
where can i see the source of my money?,70
are refunds allowed for certain items.,52
i can t verify identity through the app.,68
i got less cash than what i specified at the atm.,75
can the exchange rate change while i am in the process of making a withdrawal?,76
how can people transfer money to me?,50
i have a card that was deactivated can i reactivate it?,13
it looks like the exchange rates on my card payment are wrong,17
why does my identity need to be verified?,74
where do i find out about exchange fees,31
why would my transfer be declined?,27
which card would i get visa or mastercard?,73
why is there an extra 1 fee in my statement?,34
i tried the wrong pin too many times.,49
i withdrew money from the atm and was overcharged. it said nothing about an extra fee.,76
when can i expect my transfer to reach my account?,67
is it normal to see a fee for transferring money?,64
a foreign purchase i made has the incorrect rate applied to it.,17
why would i be charged a fee for card payment?,15
what kind of businesses will take my card?,10
i tempted to get some money out of the machine earlier and it did not work.looking now the transaction actually shows to still be in progress. i would certainly appreciate someone look into this and let me know what s going on. i definitely do not want to be charged for money i never received.,46
what s the process of changing from gbp to aud?,33
why couldn t i make a withdrawal from the atm?,26
which identity details are required,74
please assist me with activation.,0
are there restrictions to transfers to certain accounts?,7
i just have one other card from the us. is that okay?,54
will i get charged for sending out more cards?,39
my card was declined today when eating and i need to know what s wrong.,14
hi i m sending some money over to an investment bank i do business and the transaction is being rejected. i m not sure why as i think i have the right details.,35
if i top up by using a trasfer are there charges that applied?,56
someone stole my phone.,42
i dont recognize a charge on my card,16
where do i find pin for my card?,49
i updated by balance with a cheque yesterday but it isn t showing on my account. did something go wrong?,6
looks like my card payment was made twice by mistake. i went to pay at the store earlier which rejected once second time it worked. app is on pending for one of the payments. can you please remove one of them as it s wrong and clearly was declined?,63
i usually don t get charged for transfers why was i this month?,64
you shorted me money when i tried to make a withdrawal.,75
my card is about to expire. how do i get a new card?,9
my mother deposited a cheque into my account last week why is it still not showing up?,6
