text,predicted_intent,confidence,routing_decision
i sent money for my rent to my landlord but she is claiming it hasn t arrived in her account can you trace the transfer i made to make sure it arrived so i can provide proof i sent it and that it has been deposited?,66,0.9320643202083304,template_handler
how do i get a virtual card?,40,0.526105436580165,rag_pipeline
how can receive a physical card,43,0.8990528080796455,template_handler
card has been received how will it show up on the app?,13,0.9340198428553478,template_handler
how do i link a new card in the app?,13,0.7497215527171018,template_handler
i have zero dollars in my account. can i submit additional funds via bank transfer?,65,0.8531273077601559,template_handler
i cant prove who i am,68,0.4815396413831039,rag_pipeline
i had a problem with my card payment can you help?,25,0.4692717427075646,rag_pipeline
what do i do if my card is expiring soon?,9,0.9078608179401657,template_handler
i did a transfer. what is the extra fee?,64,0.4248442469118139,rag_pipeline
when will my top up process?,47,0.48571432703280215,rag_pipeline
i submitted a cheque couple days ago nothing happened to my account yet.would you please check what could be the possible issue?,6,0.9497698868589479,template_handler
why can t i edit my personal details?,30,0.9752127404854698,template_handler
i deposited some cash but it hasn t shown up in my account yet what s going on?,6,0.8457399657323341,template_handler
i ve been checking my statement to see if i ve received a refund i requested from a seller a while ago has arrived. but it has not. this should have come back to me already. can you help me figure out why it s not here and get my money back?,51,0.742780340582135,template_handler
i tried to get money out of the notting hill atm earlier but i wasn t able to get it to work. is my card with issue? it s the first time i tried using it.,26,0.9452865418407684,template_handler
why is there a payment i didn t do?,16,0.9042098399399511,template_handler
what should i do if someone stole my phone?,42,0.6314553332638123,template_handler
is there a reason my top up has been cancelled?,61,0.714256984044423,template_handler
how can i exchange aud for gbp?,33,0.9635460091891767,template_handler
can you please help me with this exchange? i am trying to get crypto and the app won t let me.,7,0.6046310039125172,template_handler
for the disposable cards what are the restrictions?,29,0.8430774794960402,template_handler
the exchange rate for my withdrawal was wrong.,76,0.4635393576696612,rag_pipeline
i found an unauthorized card payment,53,0.35626035524661975,rag_pipeline
why hasn t the transaction i did to my friend arrive yet?,66,0.9549603012865072,template_handler
is the pin separately delivered?,38,0.8472092826102502,template_handler
transfer has failed.,35,0.7507341334291654,template_handler
how long until my card is delivered?,12,0.7805432737907131,template_handler
i think i deserve a refunded on a certain item.,52,0.8601266073291179,template_handler
my card payment did not complete.,53,0.3428253538870812,rag_pipeline
i need to figure out what these charges are on my account. they ve been coming out for a couple of days. can i get all of this money back? also i need to freeze my card.,16,0.6025310313285958,template_handler
when will i see my cash since i already deposited my check?,6,0.8871887814197338,template_handler
i want to add money but don t know what currencies you accept can you tell me?,54,0.6957150589005799,template_handler
may i use my account now even though the identity verification has not gone through yet?,74,0.8473081221430031,template_handler
hi it s urgent please freeze my card. as someone has withdrawn money using my card in odd remote town. since i have not done this withdrawal. do it fast.,20,0.7493358260584534,template_handler
i m interested in getting a card. how does one go about doing that?,52,0.32818899494487197,rag_pipeline
i looked at my statement and there is a charge for 1 that i don t recognize. why is it on there?,16,0.702477708181925,template_handler
my card suddenly quit working.,14,0.762317902489453,template_handler
how can i activate my new card?,0,0.650246181749148,template_handler
what businesses accept this card?,10,0.8265935757720092,template_handler
i ve been trying to transfer funds to top up my card but the transaction is not going through. is there something i m doing wrong?,7,0.376489551225949,rag_pipeline
i have questions about how to transfer money to my account.,65,0.5910880263496612,template_handler
i want to top up my account by a bank transfer but will i be charged?,65,0.4778980992208955,rag_pipeline
i need to change my card pin.,21,0.37564536780649355,rag_pipeline
why is top up pending,47,0.5476810722144644,rag_pipeline
how long will this transfer from europe take?,67,0.9081005484015097,template_handler
do i need to select a preference to receive my salary payments in gbp and if so where?,50,0.9711719038298315,template_handler
i was under the impression that you offer crypto top up however it doesn t appear to be working. the money has now disappeared from my account so i need to know what the deal is?,61,0.9714264554429892,template_handler
how long am i to wait before the transfer gets to my account?,67,0.6621588456591659,template_handler
i am not seeing recent cash withdrawal on my account.,20,0.7120493728330547,template_handler
can you explain why there is a payment showing twice?,63,0.9408242125547819,template_handler
i didn t get all the money i asked for,75,0.9726789080490786,template_handler
why would a transfer fail?,35,0.8685861332140717,template_handler
explain why i can t do a transfer to an account.,7,0.8095631379486399,template_handler
will you set a limit to my top up?,60,0.5181248582283572,rag_pipeline
i was not given the amount of cash i withdrew,75,0.8384052278368271,template_handler
the purchase i made is still pending.,45,0.5580155804235977,template_handler
is the card welcomed by everybody?,11,0.5874455401797261,template_handler
how do i get my card on the app?,13,0.7731738568858967,template_handler
i cannot get my virtual card to work.,72,0.7644566333497999,template_handler
can you tell me why my transfer is failing and help resolve?,35,0.8136377833278683,template_handler
after i transferred money the balance remained the same.,5,0.9406596391055775,template_handler
will salary be received through this?,50,0.9570973986052603,template_handler
the exchange rate for my cash withdrawal was incorrect,76,0.4691689124169444,rag_pipeline
are there any discounts for frequent currency exchanges?,31,0.9462613162135489,template_handler
the exchange rate for the money i took out in a foreign country is wrong.,17,0.45047994858376805,rag_pipeline
what is the cost of a transfer?,56,0.7864128511490794,template_handler
i don t know my pin how can i find that out?,38,0.6665153301228287,template_handler
where do i find the exchange rate?,32,0.5379156991013473,rag_pipeline
i am not able to see the card pin anywhere?,38,0.9411392298202476,template_handler
where can i located the auto top up option?,4,0.957088985150206,template_handler
what do i do to exchange currency?,33,0.47321044396321366,rag_pipeline
do you charge anything for topping up?,57,0.8371604654598407,template_handler
my purchases from this morning still have pending payments.,45,0.8982654186146065,template_handler
what is the cause that the transfer shows as pending?,48,0.6924483912381346,template_handler
why did the atm machine fail to give me a cash withdrawal?,26,0.3273632861221989,rag_pipeline
where can i get a virtual card?,40,0.46409601775440573,rag_pipeline
why do i have to verify top up?,71,0.7156422091661839,template_handler
can i update my details?,30,0.991604081473355,template_handler
how do i authenticate my top up?,47,0.23529439462140359,llm_escalation
why am i unable to verify my id?,68,0.7017811130850893,template_handler
can you explain to me why a cash withdrawal shows up as pending?,46,0.735468557269816,template_handler
can you tell me why my refund is not showing in my statement?,51,0.8593999717433115,template_handler
i have a cash withdrawal in my statement. why is that?,20,0.6424590688361564,template_handler
can i use app to unblock my card?,49,0.29235839216290854,llm_escalation
can you tell me where i can order a disposable virtual card?,37,0.6190147037095953,template_handler
how much do you charge to accept transfers,56,0.5210753165541191,rag_pipeline
i would like to track a card sent to me how do i do that?,11,0.7649960336478373,template_handler
what can i do if my card still hasn t arrived after 2 weeks?,11,0.9231165921312048,template_handler
i tried to top up but the app rejected it.,59,0.7362744693126396,template_handler
i think someone stole money from my card,22,0.5262555622726856,rag_pipeline
i don t appreciate the extra fees being siphoned from my account. i was helping some friends move to japan and we were buying home decorations at the local stores. the receipts differed greatly from what showed up in my bank account and my statement. when can i expect the extra fees to be back in my account?,67,0.3312819412174618,rag_pipeline
how long do top ups take to go through,47,0.3411183448453241,rag_pipeline
why am i being charged for getting cash?,19,0.720769956860221,template_handler
please how do i order a card?,43,0.903485373441599,template_handler
i requested a higher amount for my cash withdrawal,75,0.6100221916199663,template_handler
my money is gone. i had topped up recently and saw it was there and went through but now it s disappeared what s going on?,61,0.9530862870402705,template_handler
where is my pin? i don t have it yet,38,0.7136365308884036,template_handler
my transfer was not approved,35,0.41766643059183123,rag_pipeline
where is my card pin?,38,0.5642524539010808,template_handler
withdrawal pending meaning?,46,0.7032491284195371,template_handler
what does a pending payment mean?,45,0.9329037901417694,template_handler
i need a virtual card,40,0.3384242672221505,rag_pipeline
someone else accessed my account and made a payment.,22,0.4325076084492689,rag_pipeline
can you please make my top up go through as soon as possible. i really need the money and it has been pending for an hour already.,47,0.8408349033054666,template_handler
when will my transfer post to my account?,5,0.3987952160463159,rag_pipeline
can i use it outside of europe?,24,0.875870811597376,template_handler
can i pick between visa and mastercard?,73,0.9922054989957028,template_handler
i ordered a card a week ago and it s still not here. what do i do?,11,0.9286617518697313,template_handler
i just noticed my transfer was declined and i don t know why. can you help me?,27,0.7638360074210655,template_handler
my payment shows that it is pending will i be charged more money?,45,0.8083884946328875,template_handler
what is the status of my top up?,47,0.33341122209515656,rag_pipeline
do physical cards cost money?,39,0.577784303470337,template_handler
when i made a transfer i was charged extra.,64,0.6089164979938786,template_handler
why won t you let me name x as a beneficiary?,7,0.961896448180311,template_handler
you sent me a card and now i want to link it.,13,0.9403528107043461,template_handler
where is the cash deposit i made?,6,0.9260953607240952,template_handler
i would like to know why a withdraw i made for some cash shows up as pending.,46,0.5433802334985326,rag_pipeline
will i get a curreng foreign exchange rate?,32,0.4741173020937522,rag_pipeline
i have been charged an extra pound!,34,0.8175469637215945,template_handler
when i used one of the atms in the city centre today i tried to take out some money but for whatever reason the machine declined my card. just checked it out in my account and that amount is still showing as pending! is there any way that you can cancel this transaction because i did not receive any money whatsoever from the atm,46,0.8653150107160902,template_handler
what is this extra fee on my statement.,34,0.5721362307575596,template_handler
it can take between 10 minutes to an hour before you hear back from us about the verification result. please try again if your verification fails. make sure you double check that images are clear and all document photos are readable without blur or glare. you have to be 18 or older and live in the european economic area or live in switzerland to be able to open an account.,24,0.5686688581812592,template_handler
explain why my top up has been reverted please.,61,0.7025307390673071,template_handler
unsure how to provide my identity.,68,0.578610747947786,template_handler
if i can i would like to get both mastercard and visa from you.,73,0.9671011423712171,template_handler
i noticed a new fee on my account. i didn t know there were fees for these payments. what is the policy?,15,0.48363016209254406,rag_pipeline
how do i verify a top up?,71,0.7529814812981517,template_handler
i need to make multiple disposable cards in a day.,29,0.9047047587988328,template_handler
what do i do? the atm took my card!,18,0.9165141772848896,template_handler
is there an option to top up with a cheque?,58,0.8754808465435074,template_handler
i have not received my pin yet,38,0.6771746455962236,template_handler
can you tell me what i steps i should take since my card was stolen?,41,0.9303597972178284,template_handler
can you give me the restrictions of the disposable cards?,29,0.9315960212005513,template_handler
my atm transaction shorted me on cash and i think the exchange rate was wrong. did i receive the correct rate?,76,0.6000948755738351,template_handler
what do i need to verify my id?,69,0.4029704747498954,rag_pipeline
can you tell me how transferring money into my account works?,65,0.9462560794488083,template_handler
i submitted a transaction but it was for the incorrect account.,8,0.8692059521982284,template_handler
where did your guys exchange rates come from?,32,0.8054631892211802,template_handler
i tried to top up but it got denied.,59,0.5109650238086013,rag_pipeline
i need to delete my account.,55,0.9592304016485119,template_handler
is it possible to have an item refunded?,52,0.9396652713276282,template_handler
tell me why my transfer is declined.,27,0.45081060494725017,rag_pipeline
will it cost anything to top up a us card?,57,0.8680013718735408,template_handler
what is the refund process?,52,0.5247974304246154,rag_pipeline
why was i not able to get cash from the atm?,26,0.6145112950451487,template_handler
can i change my pin at any atm?,21,0.5981111261180688,template_handler
it s only been a few weeks my my top up got cancelled,61,0.6332833833720795,template_handler
the transfer went through but now it has been pending for quite a while. i need this to go through already,48,0.5261152318229999,rag_pipeline
i was declined when i tried to withdraw cash!,26,0.5920136617945726,template_handler
do i have to change my pin at a bank?,21,0.6520642931097681,template_handler
someone stole my cards!,41,0.728291938417264,template_handler
my card expires soon will you send me one automatically?,9,0.8103671506454287,template_handler
what is this witdrawal,34,0.4581755184061458,rag_pipeline
how do i use a card to top up?,62,0.5794820266962636,template_handler
i ordered my card a couple weeks ago and haven t received it yet. when can i expect it?,11,0.7670779153738532,template_handler
is a tracking number available for the card that was just sent?,11,0.9766795491327342,template_handler
where can i get my pin unblocked?,49,0.5405685887448115,rag_pipeline
if i make a mistake can i cancel the transaction?,8,0.8798624523383215,template_handler
can my friends top up my account?,62,0.8271143439602452,template_handler
how fast can you deliver?,43,0.6149747621240422,template_handler
i would like to cancel my previous transaction,8,0.6327656486011146,template_handler
i withdrew money and got a fee please explain,19,0.48752531135953453,rag_pipeline
there is a pending payment on my account that is very strange. i don t remember making this and it won t go away. can you help me figure this out?,16,0.3370412256219571,rag_pipeline
where can i exchange my money for eur?,36,0.7595257325446071,template_handler
so earlier i went to an atm and got cash. but when i checked the app it states that the withdrawal is pending. how can that be when i have the cash on me?,46,0.6746006177204132,template_handler
why did my credit card get declined for top up?,59,0.5913724499072451,template_handler
why am i being charged twice fro a restaurant?,63,0.8766011796509076,template_handler
what are these disposable virtual cards all about?,37,0.733829113797499,template_handler
i took out money from a transaction machine and it exchanged the wrong dollar value amount from another currency!,76,0.2501533890751265,llm_escalation
why didn t my friend s transaction arrive yet?,66,0.9573656061831531,template_handler
i am still waiting for a refund,51,0.7123426968620509,template_handler
are there ways for other people to send me money?,50,0.9808266108752256,template_handler
is it normal to have to verify my top up or is something wrong?,71,0.4360445463154428,rag_pipeline
i traded some of my money from my native country into an atm to exchange for foreign currency and the money i received was a different equating amount!,76,0.452575813160701,rag_pipeline
i noticed that there s a payment on my card that s pending.,16,0.4947210188258251,rag_pipeline
i need to deposit money to my account,6,0.5280742280027669,rag_pipeline
where do i need to live to get support?,24,0.6170830382562004,template_handler
how do i stop fraud to my account?,22,0.4280258031343765,rag_pipeline
how many disposable cards can i own?,29,0.7708101259302366,template_handler
i want to open an account for my child.,1,0.9455620927817993,template_handler
i was charged twice for a restaurant can you take the second charge off?,63,0.9609213449091626,template_handler
can this app help me exchange currencies?,33,0.7374555946346107,template_handler
i ve been waiting ages and my pin hasn t gotten here.,38,0.35201210888950607,rag_pipeline
help me unblock my pin.,49,0.5923390002359386,template_handler
which atm s am i able to change my pin?,21,0.6900298532256005,template_handler
is my card accepted everywhere?,10,0.9492184238517996,template_handler
can this card be used at all atms?,3,0.9308360872727008,template_handler
how do i sign up for a card if i m in america?,24,0.2720703291626356,llm_escalation
will there be any extra fees if i exchange currencies?,31,0.8615019457477429,template_handler
transfers are supposed to be free. i just got a fee tacked on to something i bought abroad. not cool. figure out how to remove it.,64,0.9028443164918384,template_handler
i messed up a transfer and need to reverse it.,8,0.8614588638222721,template_handler
tell me why my transfer was declined.,27,0.4347799842653251,rag_pipeline
i can t verify my identity.,69,0.42010903171100394,rag_pipeline
my card payment has not been withdrawn from my account,53,0.5285729909303103,rag_pipeline
i have been charged a fee for getting cash,19,0.5271294869537738,rag_pipeline
i was getting cash and the card got stuck inside,76,0.33716176254365077,rag_pipeline
how to i switch my money for the money used in another country?,67,0.22325374303349055,llm_escalation
was i charged more than i should of been for a currency exchange?,31,0.33971855093211273,rag_pipeline
i transferred money but i think i ve been charged a fee for it?,64,0.7111379002304384,template_handler
what is the formula for your exchange rate?,32,0.5151991057607916,rag_pipeline
how many miles away is the atm?,18,0.5242207426661232,rag_pipeline
can you issue both a visa and a mastercard to me?,73,0.9900080897513529,template_handler
can i get payed through this system?,50,0.2794081476654801,llm_escalation
why did i get charged a fee i thought it was free?,19,0.4315575561197466,rag_pipeline
my identity is unable to be verified.,68,0.6174401052655489,template_handler
where can i change my pin?,21,0.3484312554463342,rag_pipeline
why am i unable verify my id?,68,0.7896434948006289,template_handler
why do i have a pending payment?,45,0.7895028865266895,template_handler
have have a small charge on my account from someone i purchased with but i m not sure what it relates to.,28,0.32023769155054116,rag_pipeline
why is my refund missing in my statement?,51,0.8406937228267978,template_handler
do i need to verify my identity before i can use my card?,74,0.4425275201453456,rag_pipeline
what should i do if i think that someone else may be using my card.,22,0.9442834931641749,template_handler
how long does it take for a money transfer to show?,48,0.3389228731994776,rag_pipeline
in my statement there is a payment that is i do not recognize,16,0.47875060436337996,rag_pipeline
is there something that i can do since my phone was stolen yesterday?,42,0.976398300960735,template_handler
i think my card payment was cancelled. what happened?,53,0.7051807689131708,template_handler
someone hacked into my cards account.,22,0.4693651166520234,rag_pipeline
how long will it take to receive a virtual card?,12,0.65138436002678,template_handler
my phone was taken! can you place cancel my account so no one uses it,42,0.9564600177928003,template_handler
i ve changed my mind on an item. how do i get a refund?,52,0.9723122865598587,template_handler
is it possible to top up with cash? if so how do i do it?,58,0.9324545884282882,template_handler
i was wondering can i get my pay in another currency?,50,0.940554638952318,template_handler
i m just wondering when my card will get here.,12,0.5888309177258777,template_handler
what are the countries that you operate in?,24,0.9727498508467486,template_handler
what are the fees imposed when i make a transaction?,56,0.41144108016030784,rag_pipeline
where do you need to live to receive card,24,0.41727466983842754,rag_pipeline
how do i receive more physical cards,39,0.6584387890359341,template_handler
is there a charge for physical cards,43,0.5426478795015993,rag_pipeline
i need my card activated.,0,0.6947266021048083,template_handler
i am getting an error stating my transfer is not possible while transferring money. let me know the issue as its the first time i am getting error earlier it used to work.,7,0.7736534677561667,template_handler
what happens if a merchant doesn t accept you payment?,53,0.9449741423362913,template_handler
why is it i am charged an extra fee when i use the atm?,19,0.4506064334212143,rag_pipeline
i attempted to complete a topup and i thought all was well but now the money is gone again. has there been a glitch?,61,0.846296181857127,template_handler
i need help getting the virtual card to work.,72,0.5209428298945603,rag_pipeline
i m supposed to be getting a refund but it hasn t shown up now what?,51,0.9078575706915119,template_handler
how do i go about setting up an account for my daughter?,1,0.908082012705134,template_handler
how do i receive a physical card?,43,0.9665499559998603,template_handler
who accepts this card?,10,0.8750076337787767,template_handler
i m being charged for using my card!,15,0.756099597791323,template_handler
my google top up pay is not going through,2,0.8723269813027397,template_handler
should i add money via bank transfer instead,65,0.8190359740442611,template_handler
my passcode was denied.,44,0.9265556784711624,template_handler
do international transfers take longer?? i made a transfer from france 2 days ago but it s still not there yet...,5,0.8155237600218604,template_handler
for what reason did my top up fail?,59,0.6089140880595648,template_handler
the balance does not appear to have updated.,5,0.5945332402531645,template_handler
i need to verify the source of funds.,70,0.8879736887278348,template_handler
where can i find out the fee structure for my account? i have been charged fees for some transactions but not for other ones. i can t find a pattern in these fees.,15,0.8403893926082567,template_handler
why am i still waiting for a transfer?,48,0.5200217738366614,rag_pipeline
cancel my transfer please.,8,0.57431708364367,template_handler
where can i obtain my virtual card?,40,0.5816006538966708,template_handler
i tried to top up but the funds show up as pending. i thought it was instant?,47,0.5447005094733853,rag_pipeline
what do i do since the machine swallowed my card. i need one.,18,0.9586431288824308,template_handler
how do i get selected for a visa card?,73,0.9288114544623229,template_handler
my latest payment was declined i was told everything was back to working order. what happened?,25,0.5561977206219669,template_handler
i think there s a purchase at a store that i didn t go to.,16,0.5591822095452367,template_handler
where s my card pin?,38,0.5859517947235434,template_handler
my card got lost.,41,0.6813083212583911,template_handler
please tell me the steps to verify my identity.,69,0.4936478961405067,rag_pipeline
i bought something that i need a refund for.,52,0.7306105159760561,template_handler
i have checked the account information several times to be sure that it is correct but the in country transfer i did a few days ago still has not appeared! what is the hold up?,66,0.8204743395129616,template_handler
i think there is a mistake. i am being charged twice.,63,0.9168489959074989,template_handler
there are some charges that i don t recognize. it happened days ago. can i get these charges back? should i cancel my card?,16,0.5271014596044654,rag_pipeline
i think i was charged extra on my payment on last saturday. maybe the exchange rate was wrong? i d like a refund.,17,0.66869699142741,template_handler
my balance is not what i thought it was following an atm withdrawal,19,0.2849047022590396,llm_escalation
i need help i got mugged yesterday and they took everything so i can t use the app.,42,0.9752468865436915,template_handler
i need to transfer funds into my account. how can i do this?,65,0.82557203792922,template_handler
are there steps i need to take before my card expires?,9,0.9690017026963041,template_handler
i have forgotten my passcode to access my app,44,0.9278754537137837,template_handler
is my card lost? i am still waiting for it to be delivered.,11,0.8103938369043934,template_handler
my card is almost expired. how fast will i get a new one and what is the cost?,9,0.9487030818657768,template_handler
help me. my phone has been lost or stolen!,42,0.7709981430920413,template_handler
is there a way to transfer funds directly from my card?,70,0.32342796247511046,rag_pipeline
is there a fee for exchanging foreign currencies?,31,0.8203360118176451,template_handler
my transfer didn t work,35,0.7294846835608598,template_handler
is there any way to cancel a transfer?,8,0.9481153601699588,template_handler
some cash withdrawal that i didn t make showed up in the app.,20,0.7107685683683654,template_handler
someone is making transactions on my account i think they took my card information.,22,0.9154394328009327,template_handler
can you please explain why my transfer failed?,35,0.850048043643084,template_handler
how many times can i make a top up?,29,0.21862971738149564,llm_escalation
what s the web address to unblock my pin?,49,0.725142504536196,template_handler
is my card broken? i can t get cash out of the atm,18,0.3928249728182272,rag_pipeline
there is an unauthorized cash withdrawal from my account for 500 . i definitely didn t make this withdrawal. i need your help.,20,0.8557877956821281,template_handler
can you tell me the countries you provide support for.,24,0.9096319172258363,template_handler
why has another fee been placed on my statement?,34,0.803299832150891,template_handler
my credit card was declined.,25,0.3174352494202303,rag_pipeline
how do you calculate exchange rates?,32,0.8361265650832898,template_handler
it says pending payment? why is it saying this?,45,0.9029717150943414,template_handler
where do i go to get the code to verify the top up card?,71,0.90770232454429,template_handler
declined transfer not completed.,27,0.845442930331101,template_handler
i can t withdraw money,3,0.8530372286309783,template_handler
my card was lost on vacation i don t know where it is. can you help me take care of this immediately?,41,0.7422310826681828,template_handler
if i exchange currencies on a frequent basis can i receive a discount?,31,0.8593443852849566,template_handler
i need to add a serious amount of cash to my card how do i do that?,13,0.6009250545070576,template_handler
i found my card that i thought i had lost i need to reactive it please help.,13,0.9248764051024203,template_handler
i was charge a fee that i wasn t told about,64,0.5582228169193887,template_handler
when i made a purchase last saturday i was charged extra. did i receive the right exchange rate?,17,0.7124279056024627,template_handler
my card payment is pending.,45,0.37049170429854344,rag_pipeline
why is my last transfer pending?,48,0.8582475914849154,template_handler
what was the cause for my card to be declined?,27,0.48162795425578847,rag_pipeline
hi status of one of my card payment is still pending from a while. please let e know how much time it will take to complete.,45,0.9426035967243327,template_handler
i transferred money yesterday but it still isn t available?,5,0.4460061424945197,rag_pipeline
how much does it cost to top up by card?,57,0.5104476353936821,rag_pipeline
can you tell me why my card payment did not work?,25,0.5721907375546735,template_handler
i was able to find my card. how to i go about putting it into my app?,13,0.5104013320951593,rag_pipeline
verifying top up cards necessary?,71,0.7047648144942094,template_handler
what type of card will i receive?,73,0.960411050959153,template_handler
what is going on with my cash deposit. i m looking at my account balance and it is not there. it has been almost a week. someone better get back to me asap.,6,0.9532868997079085,template_handler
how can i sign up for a virtual card?,40,0.9000873528741108,template_handler
i wrote a check to the account yesterday to add to my balance but i don t see the amount of the check reflected anywhere. is it being held up for some reason? i should have seen a new balance by now!,6,0.7600404861141193,template_handler
how do i deposit through bank transfer?,65,0.7994403783783111,template_handler
is there any cost to change foreign money to local?,31,0.6461249088083036,template_handler
how do i top up using cash?,58,0.7211838722390788,template_handler
my payment is taking a long time to go through.,45,0.7924660033029792,template_handler
how can i link the new card?,13,0.8890090359452619,template_handler
hello i changed my mind and really need a refund on one of things i bought recently. can you please cancel the transaction and get me my money back. pls it s urgent,52,0.9413595370224065,template_handler
for what reason would a top up be reverted and returned to my account?,61,0.7833429749944703,template_handler
does every place of business accept this card?,10,0.73901618917148,template_handler
how long does a bank transfer take to show up in available funds?,5,0.48807122843320766,rag_pipeline
what is the top up limit on my cards?,60,0.8773552388573762,template_handler
where can i deposit a check,58,0.626958370497465,template_handler
i bought something and want the money refunded can i get some help with that?,52,0.84408229222438,template_handler
what cards do you accept to top up my account?,54,0.44949219856687117,rag_pipeline
the currency exchange for my purchase in foreign currency is incorrect.,31,0.5396293328034742,rag_pipeline
